고유 번호,지침_원문,지침,오류 유형,디바이스,문제점 및 개선 방안,점검/문구 사용 시 주의사항,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"alt 속성이 생략되어 이미지 요소의 경로 정보가 스크린 리더로 출력되고 있음
이미지가 전달하고자 하는 정보와 동등한 수준의 설명을 대체 텍스트로 제공해야 함","250자 이내의 짧은 설명이 필요한 경우
*빨간색 글씨는 케이스에 맞지 않다면 삭제 필요",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"alt 속성이 생략되어 이미지 요소의 경로 정보가 스크린 리더로 출력되고 있음
이미지가 표현하고 있는 정보의 양이 많고 복잡하므로 숨김 텍스트를 활용하여 이미지가 전달하고자 하는 정보와 동등한 수준의 설명을 제공해야 함","250자 이상의 긴 설명이 필요하거나, 구조화된 정보가 포함된 이미지여서 IR 기법 사용이 필요한 경우
*빨간색 글씨는 케이스에 맞지 않다면 삭제 필요",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"alt 속성이 생략되어 이미지 요소의 경로 정보가 스크린 리더로 출력되고 있음
이미지가 표현하고 있는 정보의 양이 많고 복잡하므로 숨김 텍스트를 활용하여 이미지가 전달하고자 하는 정보와 동등한 수준의 설명을 제공해야 함. 숨김 텍스트로 모든 텍스트를 동일하게 제공하기 어려운 경우 (이미지를 문자가 포함된 PDF로 저장하여 / 원본 텍스트 문서(PDF, Word, Powerpoint 등)를) 첨부파일로 대체 제공할 수 있음","게시물, 포스터 등 복잡한 내용이 하나의 이미지로 저장된 콘텐츠
*빨간색 글씨, () 내부 텍스트는 케이스에 맞지 않다면 삭제 필요",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,대체 텍스트는 이미지에 포함된 텍스트를 생략하지 않고 동일하게 제공해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,대체 텍스트에 포함된 오탈자를 수정하여 스크린 리더로 정보가 정확하게 출력될 수 있도록 해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"이미지 링크에 링크 텍스트와 대체 텍스트를 동시에 제공하면 보조 기술의 종류나 설정에 따라 사용자가 두 요소를 독립된 객체로 인식할 수 있음 
링크 텍스트는 생략하고 img 요소에 alt 속성을 선언하여 링크의 목적을 설명해야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,태그의 의미와 중복되는 정보('이미지' / '사진' / '그래픽')를 대체 텍스트에서 제거하여 요소의 역할 정보가 스크린 리더 음성으로 중복 출력되지 않도록 해야 함,,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"의미를 전달하기 위한 콘텐츠를 CSS 가상 선택자로 표현하고 이에 대한 대체 콘텐츠를 제공하지 않아 스크린 리더 사용자는 정보를 전달받을 수 없음
가상 선택자를 텍스트로 변경하거나 텍스트로 별도의 설명을 제공해야 함",,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,첨부파일이 이미지 형식으로 제공되어 스크린 리더 사용자가 파일 내 콘텐츠를 확인할 수 없음. 문자가 포함된 형식의 파일로 첨부파일을 교체해야 함,"첨부파일에 대한 점검
PDF파일 내 텍스트가 블록 지정이 되는지 확인",,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,"<img>, <input type=""image""> 등 이미지 요소에 대해 alt 속성을 제공하지 않거나 alt 속성은 선언되었으나, 그 내용이 img의 내용을 대체할 수 없는 경우와 오타로 표기되어 의미가 변경된 경우",공통,"필수입력 항목을 안내하는 기호에 대한 설명이 존재하지 않으며, 스크린 리더 설정에 따라 기호가 구분되어 음성 출력되지 않을 수 있으므로 특수 기호에 대체 텍스트를 제공해야 함",문자(* 등)가 아닌 이미지로 제공된 필수 입력 항목,,,,,,,,,,,,,,,,,,,,,,
1,(적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,1. (적절한 대체 텍스트 제공) 텍스트 아닌 콘텐츠는 그 의미나 용도를 인식할 수 있도록 대체 텍스트를 제공해야 한다.,불릿이나 배경이미지 등 의미 없는 이미지에 alt 속성을 제공하지 않거나 공백이 아닌 불필요한 대체 텍스트를 제공한 경우,공통,장식 등 심미적 효과를 위한 이미지에는 대체 텍스트를 생략하고 공백 문자를 제공해야 함,,,,,,,,,,,,,,,,,,,,,,,
